Episode #0 Reward: -1031.2512970634175, Entropy mean: 1.5433676201105118, Entropy std: 0.04746554602702446
Episode #1 Reward: -625.3364687818911, Entropy mean: 1.5051473370194435, Entropy std: 0.13761167834335516
Episode #2 Reward: -650.7471766437324, Entropy mean: 1.5587926521897315, Entropy std: 0.035750846358663255
Episode #3 Reward: -625.851612903094, Entropy mean: 1.5593319708108901, Entropy std: 0.05727101234544797
Episode #4 Reward: -635.0776758504106, Entropy mean: 1.5349147894978523, Entropy std: 0.07539398179585066
Episode #5 Reward: -1066.8350059532231, Entropy mean: 1.3226824344694614, Entropy std: 0.16692234345322055
Episode #6 Reward: -870.0188651344479, Entropy mean: 1.4715021350979804, Entropy std: 0.16203019465462232
Episode #7 Reward: -1107.57362076197, Entropy mean: 1.0337691050418654, Entropy std: 0.5370133438480629
Episode #8 Reward: -745.9436862494191, Entropy mean: 1.1255986298155038, Entropy std: 0.5251370435148396
Episode #9 Reward: -527.8989826104208, Entropy mean: 1.05439432892068, Entropy std: 0.5842352437847428
Episode #10 Reward: -1821.7352907995407, Entropy mean: 0.6549077141933991, Entropy std: 0.63085781079964
Episode #11 Reward: -835.0510908873568, Entropy mean: 0.6478293347086743, Entropy std: 0.6583741278132472
Episode #12 Reward: -1125.5331954030735, Entropy mean: 0.7122076635353167, Entropy std: 0.6985259250996407
Episode #13 Reward: -1444.3710469758792, Entropy mean: 0.6410087437911232, Entropy std: 0.63964075554028
Episode #14 Reward: -1580.680303640649, Entropy mean: 0.8085370080842421, Entropy std: 0.7582726965619515
Episode #15 Reward: -2224.8972364164692, Entropy mean: 0.48417247630655763, Entropy std: 0.5516364024037962
Episode #16 Reward: -1207.5322854693409, Entropy mean: 0.3646968449553242, Entropy std: 0.4970347186879875
Episode #17 Reward: -3025.5466751185972, Entropy mean: 0.3045772693306208, Entropy std: 0.39304974339701154
Episode #18 Reward: -2703.306162267781, Entropy mean: 0.3585473256744444, Entropy std: 0.42794305196313864
Episode #19 Reward: -3259.966241362193, Entropy mean: 0.11899601764150965, Entropy std: 0.22469241232359172
Episode #20 Reward: -3234.9274220563766, Entropy mean: 0.14803642721424126, Entropy std: 0.24278193566497566
Episode #21 Reward: -1638.140892238561, Entropy mean: 0.46334239776460395, Entropy std: 0.43542275261515917
Episode #22 Reward: -1609.4085943955968, Entropy mean: 0.16921548377676016, Entropy std: 0.2584760734722058
Episode #23 Reward: -659.8051682377413, Entropy mean: 0.32354573738308806, Entropy std: 0.4358285842004675
Episode #24 Reward: -827.8941293603425, Entropy mean: 0.06931616112569784, Entropy std: 0.24084098282224523
Episode #25 Reward: -1686.7880747416116, Entropy mean: 0.14487960646152487, Entropy std: 0.2814974884740579
Episode #26 Reward: -783.262525199384, Entropy mean: 0.15296604568576816, Entropy std: 0.27161921238004344
Episode #27 Reward: -3555.7596688943495, Entropy mean: 0.17559490319307702, Entropy std: 0.23979372218830014
Episode #28 Reward: -2641.4135242257394, Entropy mean: 0.22539661054711493, Entropy std: 0.2646905057914653
Episode #29 Reward: -1830.8094031625255, Entropy mean: 0.1444922758281371, Entropy std: 0.24519162178731424
Episode #30 Reward: -910.935942902819, Entropy mean: 0.36968217375087364, Entropy std: 0.4572213203209629
Episode #31 Reward: -943.100435321115, Entropy mean: 0.40915030006785, Entropy std: 0.46979892513186294
Episode #32 Reward: -602.6497491294963, Entropy mean: 0.3904385036703721, Entropy std: 0.47598202429285336
Episode #33 Reward: -1392.039236566188, Entropy mean: 0.33685050413197765, Entropy std: 0.4054782804835383
Episode #34 Reward: -546.0569387177513, Entropy mean: 0.2848938797582254, Entropy std: 0.38948545063130635
Episode #35 Reward: -620.1635424154797, Entropy mean: 0.20223226145120002, Entropy std: 0.29841994963132196
Episode #36 Reward: -476.40552995110966, Entropy mean: 0.2954210892816762, Entropy std: 0.3788859744274048
Episode #37 Reward: -795.6841889664805, Entropy mean: 0.2592906569802304, Entropy std: 0.35016934551875445
Episode #38 Reward: -724.9342475791095, Entropy mean: 0.17406995095275193, Entropy std: 0.25147504218037015
Episode #39 Reward: -633.2036621551847, Entropy mean: 0.25852834107670997, Entropy std: 0.37646198139599324
Episode #40 Reward: -807.9694150421162, Entropy mean: 0.20290384995290278, Entropy std: 0.29044650785363263
Episode #41 Reward: -698.1992062710714, Entropy mean: 0.1386316606382511, Entropy std: 0.23569676250059637
Episode #42 Reward: -649.2713696808192, Entropy mean: 0.11048169378553392, Entropy std: 0.22486817414959406
Episode #43 Reward: -329.26187208035543, Entropy mean: 0.23921928698289055, Entropy std: 0.3616618520678944
