Episode #0 Reward: -9087.245366968396, Entropy mean: 1.2454389926232396, Entropy std: 0.39039385140209726
Episode #1 Reward: -7551.631393156508, Entropy mean: 1.2836444470584392, Entropy std: 0.2723641324805893
Episode #2 Reward: -6370.697479302619, Entropy mean: 1.3865112380385398, Entropy std: 0.16585384176313797
Episode #3 Reward: -8078.562279639404, Entropy mean: 1.156815381810069, Entropy std: 0.257753120295194
Episode #4 Reward: -6564.060894181453, Entropy mean: 1.1911829266361893, Entropy std: 0.3293727977179181
Episode #5 Reward: -9672.024031652141, Entropy mean: 1.1808352045416832, Entropy std: 0.3914906679278189
Episode #6 Reward: -9136.717362848363, Entropy mean: 1.2618395329341292, Entropy std: 0.3092709278793677
Episode #7 Reward: -6899.497288610041, Entropy mean: 1.15024088725209, Entropy std: 0.45653127026990364
Episode #8 Reward: -9560.542575609197, Entropy mean: 1.0550259516790974, Entropy std: 0.5046294383868148
Episode #9 Reward: -9298.939707768883, Entropy mean: 0.993326683787381, Entropy std: 0.5180115091537264
Episode #10 Reward: -7762.101606908955, Entropy mean: 0.9966251642308677, Entropy std: 0.584420377687599
Episode #11 Reward: -10510.427652383829, Entropy mean: 1.0139802148643438, Entropy std: 0.574974635129565
Episode #12 Reward: -9252.944494710182, Entropy mean: 0.7716914964457651, Entropy std: 0.5391621429455006
Episode #13 Reward: -10294.027991446752, Entropy mean: 0.8215923274155934, Entropy std: 0.6047018970715118
Episode #14 Reward: -12546.327396858786, Entropy mean: 0.8543298875623013, Entropy std: 0.5889744131720008
Episode #15 Reward: -7726.074884863371, Entropy mean: 0.8558793952787154, Entropy std: 0.5459888237584718
Episode #16 Reward: -12406.807151962405, Entropy mean: 0.8204819610696364, Entropy std: 0.6374417509914763
Episode #17 Reward: -15390.566221406725, Entropy mean: 0.8173857457344255, Entropy std: 0.6212169731143503
Episode #18 Reward: -11923.742074624935, Entropy mean: 0.7313685047478325, Entropy std: 0.6242241433806219
Episode #19 Reward: -16185.618153579386, Entropy mean: 0.8938405504197208, Entropy std: 0.6038358423355112
Episode #20 Reward: -8563.988293350469, Entropy mean: 0.7079004106378288, Entropy std: 0.6075091482375766
Episode #21 Reward: -8566.595918667103, Entropy mean: 0.7876108719435132, Entropy std: 0.6151292436972359
Episode #22 Reward: -6919.247493076958, Entropy mean: 0.7241978152920097, Entropy std: 0.6021808201261449
Episode #23 Reward: -14383.069451098929, Entropy mean: 0.619914049165808, Entropy std: 0.5842104204980912
Episode #24 Reward: -10615.912583105985, Entropy mean: 0.698580019118521, Entropy std: 0.5698395310650786
Episode #25 Reward: -8361.312822813923, Entropy mean: 0.5205326798928276, Entropy std: 0.5620403797603376
Episode #26 Reward: -7057.036938038705, Entropy mean: 0.6148032006522368, Entropy std: 0.4943320051511782
Episode #27 Reward: -10598.499622096579, Entropy mean: 0.5195062649247649, Entropy std: 0.5779948506988708
Episode #28 Reward: -13031.922329117819, Entropy mean: 0.5724997476330782, Entropy std: 0.5545687180187118
Episode #29 Reward: -7145.584982140579, Entropy mean: 0.6213173675454267, Entropy std: 0.6120763007002955
Episode #30 Reward: -6400.124533082584, Entropy mean: 0.5605753735310361, Entropy std: 0.5544948470171598
Episode #31 Reward: -6664.338618673696, Entropy mean: 0.3613779003229599, Entropy std: 0.5160292452543317
Episode #32 Reward: -10972.105039625942, Entropy mean: 0.3563430523473566, Entropy std: 0.5063166683580629
Episode #33 Reward: -6601.122028076035, Entropy mean: 0.36794750915117286, Entropy std: 0.5328938462450301
Episode #34 Reward: -8466.573233383227, Entropy mean: 0.3872673864349953, Entropy std: 0.5517804260876216
Episode #35 Reward: -7272.493073272862, Entropy mean: 0.3682042487544658, Entropy std: 0.5407087821964407
Episode #36 Reward: -7547.593296064177, Entropy mean: 0.4260746054188254, Entropy std: 0.573296172583837
Episode #37 Reward: -10870.528643668384, Entropy mean: 0.29484671127383033, Entropy std: 0.4696787500268144
Episode #38 Reward: -10836.56269210568, Entropy mean: 0.3171005739365468, Entropy std: 0.456544004073464
Episode #39 Reward: -13799.29192988609, Entropy mean: 0.2521769500416381, Entropy std: 0.4115920704812847
Episode #40 Reward: -9567.47354450805, Entropy mean: 0.24120036583257273, Entropy std: 0.4472237387477546
Episode #41 Reward: -7699.120264331433, Entropy mean: 0.44368609330196684, Entropy std: 0.576300952432687
Episode #42 Reward: -7523.479404814305, Entropy mean: 0.34000038906863234, Entropy std: 0.4993858704117454
Episode #43 Reward: -8089.26399802681, Entropy mean: 0.24662479261917644, Entropy std: 0.44504072344783446
Episode #44 Reward: -7617.170483738985, Entropy mean: 0.222963553188415, Entropy std: 0.4305166725338543
Episode #45 Reward: -9773.472714896114, Entropy mean: 0.33307735636585006, Entropy std: 0.530177233158289
Episode #46 Reward: -8773.992501586736, Entropy mean: 0.3120351939505549, Entropy std: 0.5190058806088945
Episode #47 Reward: -7416.803700020392, Entropy mean: 0.19915130406887946, Entropy std: 0.4184814404514845
Episode #48 Reward: -11638.396692383983, Entropy mean: 0.13704082814184476, Entropy std: 0.35129234064077786
