Episode #0 Reward: -1299.750589916665, Entropy mean: 1.4902392754952112, Entropy std: 0.0962268966387995
Episode #1 Reward: -1325.8110818726923, Entropy mean: 1.3487006992101669, Entropy std: 0.18609827724695688
Episode #2 Reward: -1219.2394009866923, Entropy mean: 1.4495012068748474, Entropy std: 0.1114412684314356
Episode #3 Reward: -876.8245199083138, Entropy mean: 1.5148687879244487, Entropy std: 0.07938510253703544
Episode #4 Reward: -1471.4907618475706, Entropy mean: 1.2692868453264237, Entropy std: 0.1760878503652871
Episode #5 Reward: -1727.437137967676, Entropy mean: 1.4158585542440414, Entropy std: 0.14671605815701136
Episode #6 Reward: -1288.2203687747383, Entropy mean: 1.5006828896204631, Entropy std: 0.07502284531440548
Episode #7 Reward: -1260.2152826531808, Entropy mean: 1.481003685593605, Entropy std: 0.09675642559746041
Episode #8 Reward: -1057.7050667185063, Entropy mean: 1.4526675977309544, Entropy std: 0.12108232452613109
Episode #9 Reward: -1241.0255271521457, Entropy mean: 1.3620263461520274, Entropy std: 0.38543998167191157
Episode #10 Reward: -1513.8225801811902, Entropy mean: 1.3864520331720511, Entropy std: 0.22501193388749458
Episode #11 Reward: -1105.0333479055134, Entropy mean: 1.4090784996747971, Entropy std: 0.16590554039621028
Episode #12 Reward: -2030.047207293577, Entropy mean: 0.9232681882505616, Entropy std: 0.3981076005106525
Episode #13 Reward: -1248.1307465903622, Entropy mean: 1.1851429862280687, Entropy std: 0.2805607192321479
Episode #14 Reward: -960.9798214953909, Entropy mean: 0.9962040271982551, Entropy std: 0.40523678499530186
Episode #15 Reward: -1945.5211489443332, Entropy mean: 0.8456021574698389, Entropy std: 0.5480211206681841
Episode #16 Reward: -1215.7363461289187, Entropy mean: 1.0417169463075697, Entropy std: 0.4077005111927477
Episode #17 Reward: -865.6013726672169, Entropy mean: 1.2788124171892803, Entropy std: 0.2728587489791965
Episode #18 Reward: -1137.2828016442918, Entropy mean: 0.6399636955504927, Entropy std: 0.4954598449765236
Episode #19 Reward: -986.2277677394351, Entropy mean: 0.9810107851773501, Entropy std: 0.3208861581011626
Episode #20 Reward: -1338.014932532317, Entropy mean: 1.026815165587468, Entropy std: 0.430552495023709
Episode #21 Reward: -1447.1372831003164, Entropy mean: 0.8449488384323195, Entropy std: 0.45371273283725355
Episode #22 Reward: -1583.8727189622134, Entropy mean: 0.7934818185908564, Entropy std: 0.54426717408833
Episode #23 Reward: -1370.8061172723578, Entropy mean: 0.8728709802528223, Entropy std: 0.38271543384711854
Episode #24 Reward: -1630.03875372502, Entropy mean: 0.7183629043472259, Entropy std: 0.5275468081743012
