Episode #0 Reward: -946.2994142369894, Entropy mean: 1.4549152672290802, Entropy std: 0.16536113469573213
Episode #1 Reward: -558.6943658247006, Entropy mean: 1.5741009938716888, Entropy std: 0.02942747664257313
Episode #2 Reward: -956.9542588961588, Entropy mean: 1.2466709338128568, Entropy std: 0.16814637883706948
Episode #3 Reward: -1120.8700375012497, Entropy mean: 1.3628768479824067, Entropy std: 0.08864661005706284
Episode #4 Reward: -872.20945065408, Entropy mean: 1.480229388475418, Entropy std: 0.07036453979275635
Episode #5 Reward: -1266.2979199192616, Entropy mean: 1.205758497416973, Entropy std: 0.27668456311334816
Episode #6 Reward: -1092.1320007909383, Entropy mean: 1.2800133533775806, Entropy std: 0.21513272026345837
Episode #7 Reward: -1021.6608471736552, Entropy mean: 1.418797648847103, Entropy std: 0.1345483298096481
Episode #8 Reward: -847.9054399471743, Entropy mean: 1.4653937429189683, Entropy std: 0.08111934328366255
Episode #9 Reward: -438.0185292472977, Entropy mean: 1.4426848848164082, Entropy std: 0.19214406845717866
Episode #10 Reward: -607.8390919770159, Entropy mean: 1.4551406061649323, Entropy std: 0.13429612959411116
Episode #11 Reward: -860.6589418700253, Entropy mean: 1.368681657165289, Entropy std: 0.14135073640280207
Episode #12 Reward: -1080.606568934654, Entropy mean: 1.245252749323845, Entropy std: 0.24098882035448618
Episode #13 Reward: -1134.541637289191, Entropy mean: 0.7565382880298421, Entropy std: 0.5477099728750198
Episode #14 Reward: -1026.7609289083957, Entropy mean: 1.218087024986744, Entropy std: 0.3823551868678765
Episode #15 Reward: -579.55346256566, Entropy mean: 1.3594259636104107, Entropy std: 0.1563238975102674
Episode #16 Reward: -969.3739911656176, Entropy mean: 1.2009069965407253, Entropy std: 0.42210468919170313
Episode #17 Reward: -714.8056770755252, Entropy mean: 1.357650030553341, Entropy std: 0.22324763071680437
Episode #18 Reward: -721.6494877695077, Entropy mean: 0.9563085568603128, Entropy std: 0.44622040882685987
Episode #19 Reward: -932.7114697319643, Entropy mean: 1.1872701999545097, Entropy std: 0.22526113641005988
Episode #20 Reward: -614.5670887517855, Entropy mean: 1.3346521791815757, Entropy std: 0.17240952420665945
Episode #21 Reward: -1181.9483707182549, Entropy mean: 0.7261695278415573, Entropy std: 0.4957658478630494
Episode #22 Reward: -1186.2690836503916, Entropy mean: 0.5610931800635239, Entropy std: 0.5430414101961699
Episode #23 Reward: -512.5176500121158, Entropy mean: 1.2135232366621493, Entropy std: 0.18679156977498096
Episode #24 Reward: -524.5907993173399, Entropy mean: 1.289490616209805, Entropy std: 0.2786240040039524
Episode #25 Reward: -646.2433801074808, Entropy mean: 1.047786294259131, Entropy std: 0.45768636957274517
Episode #26 Reward: -679.4284237572831, Entropy mean: 1.2949355767667294, Entropy std: 0.21944062957924465
Episode #27 Reward: -717.8007479601483, Entropy mean: 1.1110473198071122, Entropy std: 0.3361082303881587
Episode #28 Reward: -584.177994086214, Entropy mean: 1.1136692811921238, Entropy std: 0.27078742295485303
Episode #29 Reward: -388.04018329504794, Entropy mean: 1.324133814573288, Entropy std: 0.23979223633889324
