Episode #0 Reward: -659.0946521467348, Entropy mean: 1.5420894488692283, Entropy std: 0.04485583671193746
Episode #1 Reward: -688.603255234868, Entropy mean: 1.3325604251027108, Entropy std: 0.2806882895488895
Episode #2 Reward: -991.5151257684097, Entropy mean: 1.3433466056734324, Entropy std: 0.26702259655924276
Episode #3 Reward: -727.81286809335, Entropy mean: 1.2277479565143585, Entropy std: 0.44826033212255323
Episode #4 Reward: -948.4430190788951, Entropy mean: 1.3538184221833944, Entropy std: 0.28215755680808524
Episode #5 Reward: -1879.718040504872, Entropy mean: 0.8703040878777393, Entropy std: 0.5540876961910475
Episode #6 Reward: -1241.9054844078266, Entropy mean: 1.3242518121004105, Entropy std: 0.35294884698572
Episode #7 Reward: -2002.0109842076165, Entropy mean: 0.9870390840899199, Entropy std: 0.6069549465410311
Episode #8 Reward: -1186.4658555472397, Entropy mean: 1.0749981615762225, Entropy std: 0.6342492705079317
Episode #9 Reward: -1121.4395323126041, Entropy mean: 0.9424808636587113, Entropy std: 0.566599480556859
Episode #10 Reward: -2283.3390922759727, Entropy mean: 1.0538818232016638, Entropy std: 0.5328824157946112
Episode #11 Reward: -1110.2647175634609, Entropy mean: 1.0877817502245306, Entropy std: 0.590526965220544
Episode #12 Reward: -938.3305762694802, Entropy mean: 1.0002461715450044, Entropy std: 0.589857682559109
Episode #13 Reward: -2669.8272766253785, Entropy mean: 0.9899939849972725, Entropy std: 0.45312052774836636
Episode #14 Reward: -562.3349239632516, Entropy mean: 0.9820891680847853, Entropy std: 0.596091582710558
Episode #15 Reward: -687.621005784666, Entropy mean: 0.9700845099450089, Entropy std: 0.5741076404331481
Episode #16 Reward: -1228.615855318736, Entropy mean: 1.132390835992992, Entropy std: 0.4456158541007388
Episode #17 Reward: -1680.0638466814337, Entropy mean: 1.1976798938959836, Entropy std: 0.4109384718314444
Episode #18 Reward: -917.762227387374, Entropy mean: 1.204578331708908, Entropy std: 0.3985211856285972
Episode #19 Reward: -1053.6510780902145, Entropy mean: 1.108862684480846, Entropy std: 0.4652591204243809
Episode #20 Reward: -590.431168932206, Entropy mean: 1.5715552362799645, Entropy std: 0.04629638900514645
Episode #21 Reward: -679.5099948486736, Entropy mean: 1.5118624299764634, Entropy std: 0.10611322576888564
Episode #22 Reward: -2813.8583239706086, Entropy mean: 0.9383937729895115, Entropy std: 0.3005898900691985
Episode #23 Reward: -1719.0211661473672, Entropy mean: 1.1989163714647293, Entropy std: 0.3079180995421864
Episode #24 Reward: -525.7183004735224, Entropy mean: 1.529960873425007, Entropy std: 0.07859443790303422
Episode #25 Reward: -2286.926007900191, Entropy mean: 0.9660449060797691, Entropy std: 0.32876284933148664
Episode #26 Reward: -2780.320508091712, Entropy mean: 0.9391325499117374, Entropy std: 0.3018250716832519
Episode #27 Reward: -1049.3294142760906, Entropy mean: 1.3072749920189382, Entropy std: 0.24753001754534326
Episode #28 Reward: -586.6580299956685, Entropy mean: 1.5564677038788794, Entropy std: 0.031816415736835836
Episode #29 Reward: -662.2159813025545, Entropy mean: 1.5504491284489632, Entropy std: 0.042857202471460874
Episode #30 Reward: -1335.020987639878, Entropy mean: 0.8542792784795165, Entropy std: 0.3738048136496582
Episode #31 Reward: -757.2010196739154, Entropy mean: 1.4704032990336418, Entropy std: 0.13364443835354026
Episode #32 Reward: -484.0556699694028, Entropy mean: 1.5439131593704223, Entropy std: 0.0712233281235701
Episode #33 Reward: -540.334416634912, Entropy mean: 1.5738447561860085, Entropy std: 0.02030405616442254
Episode #34 Reward: -533.3816755245851, Entropy mean: 1.3483722135424614, Entropy std: 0.11849773238674666
Episode #35 Reward: -611.4455969477776, Entropy mean: 1.5597042101621628, Entropy std: 0.04814792699208028
Episode #36 Reward: -492.7547342819911, Entropy mean: 1.268331319540739, Entropy std: 0.2744607765420528
Episode #37 Reward: -602.7735280983446, Entropy mean: 1.544347023665905, Entropy std: 0.06667753844964079
Episode #38 Reward: -552.280965319361, Entropy mean: 1.5449022996425628, Entropy std: 0.0509359294209991
Episode #39 Reward: -666.8975525263937, Entropy mean: 1.5025351321697236, Entropy std: 0.08010746069297658
Episode #40 Reward: -453.341123313627, Entropy mean: 1.5064270028471947, Entropy std: 0.13245783297087005
Episode #41 Reward: -516.0672952858505, Entropy mean: 1.524841705262661, Entropy std: 0.025914307367920143
Episode #42 Reward: -554.7165855804237, Entropy mean: 1.5428061783313751, Entropy std: 0.062136786796535934
Episode #43 Reward: -557.718120153341, Entropy mean: 1.4767080014944076, Entropy std: 0.07276657358694935
Episode #44 Reward: -609.3072453073175, Entropy mean: 1.573835887312889, Entropy std: 0.02506442698952051
Episode #45 Reward: -372.85834805446206, Entropy mean: 1.5852579471468926, Entropy std: 0.04024488255416795
Episode #46 Reward: -618.3162816405772, Entropy mean: 1.4776537218689918, Entropy std: 0.09528396381702375
Episode #47 Reward: -572.0310528399885, Entropy mean: 1.5115462109446525, Entropy std: 0.0891392507989606
Episode #48 Reward: -464.8555729340436, Entropy mean: 1.575825108587742, Entropy std: 0.03132165140972438
Episode #49 Reward: -827.5187089053906, Entropy mean: 1.2332174718379973, Entropy std: 0.2555698557279357
Episode #50 Reward: -654.1227202119944, Entropy mean: 1.5350475963950156, Entropy std: 0.08255744931305625
Episode #51 Reward: -590.8802423988578, Entropy mean: 1.5799590176343918, Entropy std: 0.024082701294185604
Episode #52 Reward: -703.7454605792576, Entropy mean: 1.5719810169935227, Entropy std: 0.031217938237064296
Episode #53 Reward: -444.67802364373216, Entropy mean: 1.5657801625132561, Entropy std: 0.051697248299610234
Episode #54 Reward: -468.9009726889732, Entropy mean: 1.5120399478077888, Entropy std: 0.12032070275509837
Episode #55 Reward: -461.80230237339595, Entropy mean: 1.561337427198887, Entropy std: 0.04270951898875798
Episode #56 Reward: -644.3057259143362, Entropy mean: 1.5813785779476166, Entropy std: 0.017786796686482316
Episode #57 Reward: -602.4463755270662, Entropy mean: 1.529606501162052, Entropy std: 0.1328942794234819
Episode #58 Reward: -591.6010303541113, Entropy mean: 1.5688051202893256, Entropy std: 0.019546217415685373
Episode #59 Reward: -975.8799995909342, Entropy mean: 1.5273278799653054, Entropy std: 0.07476063821096465
Episode #60 Reward: -5505.283205565158, Entropy mean: 1.2258066780865193, Entropy std: 0.15156465029276392
Episode #61 Reward: -449.89517594832375, Entropy mean: 1.3878556682169438, Entropy std: 0.2575986929265936
Episode #62 Reward: -1571.3831174622658, Entropy mean: 1.1455475140362978, Entropy std: 0.3308366268713989
Episode #63 Reward: -439.2163273784678, Entropy mean: 1.540851057767868, Entropy std: 0.0663096616954809
Episode #64 Reward: -671.1609380095441, Entropy mean: 1.5118875044584275, Entropy std: 0.07917040275276041
Episode #65 Reward: -553.7649441858917, Entropy mean: 1.5731532779335975, Entropy std: 0.030146920499067562
Episode #66 Reward: -1285.6727311563404, Entropy mean: 1.5101165235042573, Entropy std: 0.10246275909103764
Episode #67 Reward: -430.32603054974334, Entropy mean: 1.5303832313418388, Entropy std: 0.07557703646320227
Episode #68 Reward: -1083.3348285898205, Entropy mean: 1.4777758166193962, Entropy std: 0.11142757646029922
Episode #69 Reward: -1711.116157599002, Entropy mean: 1.4989333820343018, Entropy std: 0.13593195227473268
Episode #70 Reward: -522.6359411046758, Entropy mean: 1.546734933257103, Entropy std: 0.043098060600379566
Episode #71 Reward: -647.8648544055719, Entropy mean: 1.5803233543038369, Entropy std: 0.03310439533118707
Episode #72 Reward: -1452.0590057601923, Entropy mean: 1.5325883665680886, Entropy std: 0.10195147475332902
Episode #73 Reward: -529.0268417231731, Entropy mean: 1.5509694886207581, Entropy std: 0.01830664532538002
Episode #74 Reward: -1987.639731691137, Entropy mean: 1.501215086877346, Entropy std: 0.13343744428478332
Episode #75 Reward: -2887.5719166210524, Entropy mean: 1.4384021891653538, Entropy std: 0.20870367469148063
Episode #76 Reward: -842.5860036980616, Entropy mean: 1.5693907821178437, Entropy std: 0.031931441771188826
Episode #77 Reward: -500.85800667678814, Entropy mean: 1.5044853821396829, Entropy std: 0.03250894398442478
Episode #78 Reward: -1524.9989902297013, Entropy mean: 1.5376505377888678, Entropy std: 0.09713859134357286
Episode #79 Reward: -1026.1252188319831, Entropy mean: 1.5390279647707938, Entropy std: 0.06944546342734144
Episode #80 Reward: -2010.316627961301, Entropy mean: 1.5067286628484726, Entropy std: 0.13188061931727008
Episode #81 Reward: -1242.8498629243336, Entropy mean: 1.5360537374019623, Entropy std: 0.10467055481798157
Episode #82 Reward: -1875.7697692742977, Entropy mean: 1.4748714876174926, Entropy std: 0.16795119757187296
Episode #83 Reward: -1213.9661189026424, Entropy mean: 1.4499436172842979, Entropy std: 0.11723860825504942
Episode #84 Reward: -818.8215633864584, Entropy mean: 1.4547301399707795, Entropy std: 0.11308187550924753
Episode #85 Reward: -3249.5380209061814, Entropy mean: 1.3892375883460044, Entropy std: 0.3453513470700261
Episode #86 Reward: -1917.8337987579357, Entropy mean: 1.2588834027945994, Entropy std: 0.24532707905136528
Episode #87 Reward: -475.0115472300301, Entropy mean: 1.5360231444239616, Entropy std: 0.10811463904412101
Episode #88 Reward: -608.7969918970664, Entropy mean: 1.4487431563436985, Entropy std: 0.1684613385090084
Episode #89 Reward: -1884.5406414475683, Entropy mean: 1.3575729176402092, Entropy std: 0.23631646694484515
Episode #90 Reward: -940.2929695925213, Entropy mean: 1.560202928185463, Entropy std: 0.0703999807215285
